# ID|hash_parola|tip_rol
BAS-2125|d18ed60ed09d29bd|BASIC
BAS-2126|521ce56da2c03d31|BASIC
BAS-2127|962a735117943324|BASIC
BAS-2128|f6a612c9081fcc5f|BASIC
BAS-2129|35ec61963ca68164|BASIC
BAS-2130|ceefbd359f9cc929|BASIC
BAS-2131|13b59a4e35a08d75|BASIC
BAS-2132|6d8e8768d971c106|BASIC
BAS-2133|41e644b0a05f2b4f|BASIC
BAS-2134|f839675ee0b5a602|BASIC
BAS-2135|282837b440a73e3d|BASIC
BAS-2136|0fde7a599e9f5c29|BASIC
BAS-2137|167edccfc8520a73|BASIC
BAS-2138|770548629d5bce2b|BASIC
BAS-2139|328296088b610c4c|BASIC
BAS-2140|f2f50ef76097e07a|BASIC
BAS-2141|fb5326633bb1df2b|BASIC
BAS-2142|9193d92a9a68e992|BASIC
BAS-2143|fade01ec9e8b0ca1|BASIC
BAS-2144|e2204563f7d1edaf|BASIC
BAS-2145|059eba4f91e8b36a|BASIC
BAS-2146|4c946ca1fecd85e8|BASIC
BAS-2147|89aae6355c75c47d|BASIC
BAS-2148|9a477ed458a43e85|BASIC
BAS-2149|6ce46a45f6022fbc|BASIC
BAS-2150|734978761153ea3c|BASIC
BAS-2151|b75706598626fdb8|BASIC
BAS-2152|dde1e88536fa87fd|BASIC
BAS-2153|7b326b6b4f48f65f|BASIC
BAS-2154|17ed8971cc0dadf3|BASIC
BAS-2155|5504030529b59698|BASIC
BAS-2156|5fb6387bfa5b13e1|BASIC
BAS-2157|8ae410eccccec07d|BASIC
BAS-2158|e9acc789f0705d1d|BASIC
BAS-2159|d3cfe408e65da1de|BASIC
BAS-2160|5adf476bbda0a834|BASIC
BAS-2161|7e5dbc5757b85749|BASIC
BAS-2162|550997aa14332c49|BASIC
BAS-2163|5b18d6dbc339c066|BASIC
BAS-2164|b6a06b3613178d14|BASIC
BAS-2165|c152a0ace3bcd2f4|BASIC
BAS-2166|d6d31b85f312531f|BASIC
BAS-2167|67b343024586f647|BASIC
BAS-2168|7758251b1dd47e05|BASIC
BAS-2169|bb65b2fe92a861d6|BASIC
BAS-2170|c1cac12eadf8aec2|BASIC
BAS-2171|e855a35a5ecd06d4|BASIC
BAS-2172|d8753a83c02a10c2|BASIC
BAS-2173|5b5767ed87db4c3e|BASIC
BAS-2174|2901a6bd1d91ad61|BASIC
BAS-2175|a35636d1c3316e26|BASIC
BAS-2176|2638643b8ae0ce82|BASIC
BAS-2177|eb1ee5dbf17f84d2|BASIC
BAS-2178|335c0511684b9c86|BASIC
BAS-2179|751574e9e794de8c|BASIC
BAS-2180|4c61f4606ade3eb6|BASIC
BAS-2181|230dcfb32759c6c6|BASIC
BAS-2182|091f1931765079e8|BASIC
BAS-2183|a402c23df6abc4fb|BASIC
BAS-2184|edeecc012a5fd2e2|BASIC
BAS-2185|d96b6ce56a1de03e|BASIC
BAS-2186|1b24dcbde964bb19|BASIC
BAS-2187|f749ff2a548ccbde|BASIC
BAS-2188|fe5e60ce82f35020|BASIC
BAS-2189|3dc8f86cd626c895|BASIC
BAS-2190|0611b64bbfc9cfdd|BASIC
BAS-2191|360086a11fbcb7fa|BASIC
BAS-2192|77b9f6799f05f910|BASIC
BAS-2193|b7248e17f2387282|BASIC
BAS-2194|1a8453b1cad0bd45|BASIC
BAS-2195|f43c9c449e07950c|BASIC
